Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
k14,COL1A2,ITGB1,k12,37,0.04913678618857902,1.253835050326602,944.1377928959312,0.568560639780872,0.4492524105875075,909,0.6492857142857142,92.02863354564761,128840.0869639067,0.2509194170151416,0.3305036005197967,115.3887263731955,0.1426629042715723,121642795.3426227,0.1484795392413693
k14,COL1A2,ITGB1,k14,37,0.04913678618857902,1.253835050326602,944.1377928959312,0.568560639780872,0.4492524105875075,413,0.548472775564409,125.6667827525421,94627.08741266423,0.3426350544561313,0.2427396149255033,157.5654168769158,0.1948088057729319,89341009.45796315,0.1090513571503657
k14,COL1A2,ITGB1,k15,37,0.04913678618857902,1.253835050326602,944.1377928959312,0.568560639780872,0.4492524105875075,830,0.7437275985663082,149.0702754142783,166362.4273623345,0.4064455285287272,0.4267567845547,186.909536276262,0.2310889297363678,157069054.9906842,0.1917215141957725
k15,COL1A2,ITGB1,k12,19,0.01702508960573477,0.6147341215310841,686.0432796286898,0.2787556667376649,0.3264423895109566,909,0.6492857142857142,92.02863354564761,128840.0869639067,0.2509194170151416,0.3305036005197967,56.57314119838974,0.06994520938748197,88389875.80836412,0.1078903850956571
k15,COL1A2,ITGB1,k14,19,0.01702508960573477,0.6147341215310841,686.0432796286898,0.2787556667376649,0.3264423895109566,413,0.548472775564409,125.6667827525421,94627.08741266423,0.3426350544561313,0.2427396149255033,77.25165930102158,0.095511463052615,64918277.39029488,0.07924049992525076
k15,COL1A2,ITGB1,k15,19,0.01702508960573477,0.6147341215310841,686.0432796286898,0.2787556667376649,0.3264423895109566,830,0.7437275985663082,149.0702754142783,166362.4273623345,0.4064455285287272,0.4267567845547,91.63858480319311,0.1132989942975679,114131825.2746457,0.1393115044900487
k12,COMP,CD47,k12,14,0.01,0.2957163885961595,414.0029440346233,0.01864465876063144,0.02334981225680288,318,0.2271428571428571,12.43162468361864,17404.2745570661,0.1584718152448598,0.2069856124021547,3.676235155822578,0.002954652918418243,7205420.905412253,0.004833075189449682
k12,COMP,CD47,k14,14,0.01,0.2957163885961595,414.0029440346233,0.01864465876063144,0.02334981225680288,240,0.3187250996015936,19.26410692412815,14505.8725138685,0.2455687065070755,0.1725154872652617,5.696712129133447,0.004578544735114076,6005473.926532479,0.004028204239034728
k12,COMP,CD47,k15,14,0.01,0.2957163885961595,414.0029440346233,0.01864465876063144,0.02334981225680288,435,0.3897849462365591,46.75118126701358,52174.31829398715,0.5959594782480647,0.6204989003325836,13.82509048688568,0.01111146110709912,21600321.37671019,0.01448853282831847
k14,COMP,CD47,k12,4,0.005312084993359893,0.1487779400298194,112.029788842454,0.009380318541471923,0.006318492596085992,318,0.2271428571428571,12.43162468361864,17404.2745570661,0.1584718152448598,0.2069856124021547,1.849551511652637,0.001486516106842071,1949797.203584209,0.001307837059459339
k14,COMP,CD47,k14,4,0.005312084993359893,0.1487779400298194,112.029788842454,0.009380318541471923,0.006318492596085992,240,0.3187250996015936,19.26410692412815,14505.8725138685,0.2455687065070755,0.1725154872652617,2.866074144685967,0.002303512690853597,1625089.834704245,0.001090037828995723
k14,COMP,CD47,k15,4,0.005312084993359893,0.1487779400298194,112.029788842454,0.009380318541471923,0.006318492596085992,435,0.3897849462365591,46.75118126701358,52174.31829398715,0.5959594782480647,0.6204989003325836,6.955544442866962,0.005590289743776255,5845077.861474366,0.003920617707630929
